"Name"	"Group"	"Cluster"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Vancouver/Seattle Study Critiques"	"0"	"0"
"Waco dates - are these coincidental?"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Nuts and Holly Silva"	"0"	"1"
"Re: ATF suspects drug lab in compound"	"0"	"0"
"PUBLIC HEARINGS on Ballot Access, Vote Fraud and Other Issues"	"0"	"7"
"PUBLIC HEARINGS on Ballot Access, Vote Fraud and Other Issues"	"0"	"7"
"Celebrate Liberty!  1993"	"0"	"7"
"Re: Threatening Gun Owners"	"0"	"0"
"Re: I believe in gun control."	"0"	"1"
"Re: Lavishly Funded ""Gun Epidemic"" Propaganda Campaign to Commence"	"0"	"0"
"Re: Govs. Florio, Wilder Hit Airwaves In Support of Brady Bill"	"0"	"1"
"Re: Waco dates - are these coincidental?"	"0"	"0"
"Re: NRA Fucks Up Bigtime"	"0"	"1"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Bill 'Blame America First' Clinton Strikes Again."	"0"	"0"
"Re: Fwd: FREE NRA MEMBERSHIP OFFER"	"0"	"0"
"Re: the usual"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Bill 'Blame America First' Clinton Strikes Again."	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: A universal RIGHT to bear arms? NOT!"	"0"	"1"
"Re: Gov't break-ins (Re: 60 minutes)"	"0"	"1"
"Re: a universal RIGHT to bear arms? NOT!"	"0"	"1"
"Re: Gov't break-ins (Re: 60 minutes)"	"0"	"1"
"<None>"	"0"	"0"
"Re: the usual"	"0"	"1"
"Re: Waco dates - are these coincidental?"	"0"	"1"
"Questions to Ponder"	"0"	"7"
"Re: Gun Control: proud to be a Canuck"	"0"	"1"
"Re: Flamage  (was Janet Reno)"	"0"	"1"
"Re: the usual"	"0"	"0"
"Re: the usual"	"0"	"1"
"Re: Gov't break-ins (Re: 60 minutes)"	"0"	"1"
"Re: RKBA on NYC radio station"	"0"	"5"
"Re: Enforcement of Early Common Law"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Re: Gun Control (was Re: We're Mad as Hell at the TV News)"	"0"	"0"
"Armed Citizen - April '93"	"0"	"0"
